id,benchmark,function,passes,wcet
32,durbin/durbin,init_array,"loop-load-elim - loop-vectorize - lcssa - loop-mssa(licm) - slp-vectorizer - sroa - float2int - lower-constant-intrinsics - mem2reg,loop-unroll<O3> - mem2reg",3229772
33,durbin/durbin,init_array,"slp-vectorizer - aggressive-instcombine - correlated-propagation - lower-constant-intrinsics - pgo-memop-opt - loop-load-elim - loop(indvars) - jump-threading - no-op-function - no-op-function",3237943
34,durbin/durbin,init_array,"instsimplify - loop-mssa(licm) - speculative-execution - loop-mssa(licm) - bdce - instcombine - no-op-function - no-op-function - no-op-function - no-op-function",3237543
35,durbin/durbin,init_array,"instsimplify - loop-mssa(licm) - lcssa - loop-mssa(licm) - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function",3237543
36,durbin/durbin,init_array,"instsimplify - adce - loop-mssa(licm) - loop(loop-deletion) - slp-vectorizer - loop-distribute - loop-sink - correlated-propagation - jump-threading - loop-mssa(licm)",3237543
37,durbin/durbin,init_array,"instcombine - loop(indvars) - loop-mssa(licm) - loop-vectorize - lower-constant-intrinsics - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function",3237543
38,durbin/durbin,init_array,"gvn - alignment-from-assumptions - memcpyopt - loop-mssa(licm) - bdce - instcombine - no-op-function - no-op-function - no-op-function - no-op-function",3237543
39,durbin/durbin,init_array,"mem2reg - lower-expect - loop(loop-deletion) - no-op-function - no-op-function - speculative-execution - div-rem-pairs - lower-constant-intrinsics - lower-constant-intrinsics - div-rem-pairs",3237943
40,durbin/durbin,init_array,"instsimplify - adce - loop-mssa(licm) - loop(loop-deletion) - slp-vectorizer - no-op-function - no-op-function - loop-mssa(licm) - loop(loop-idiom) - no-op-function",3237543
41,durbin/durbin,init_array,"loop(loop-idiom) - loop-distribute - gvn - mem2reg - loop-mssa(licm) - div-rem-pairs - no-op-function - no-op-function - jump-threading - loop-mssa(licm)",3237543
42,durbin/durbin,init_array,"loop-vectorize - aggressive-instcombine - no-op-function - no-op-function - alignment-from-assumptions - callsite-splitting - mem2reg,loop-unroll<O3> - sccp - instcombine - instcombine",3237943
43,durbin/durbin,init_array,"loop-mssa(licm) - loop(loop-idiom) - no-op-function - no-op-function - no-op-function - no-op-function - aggressive-instcombine - loop-mssa(licm) - no-op-function - no-op-function",3237543
44,durbin/durbin,init_array,"div-rem-pairs - libcalls-shrinkwrap - sccp - instsimplify - callsite-splitting - dse - div-rem-pairs - loop-sink - reassociate - no-op-function",3237943
45,durbin/durbin,init_array,"instcombine - adce - loop-mssa(licm) - float2int - loop-load-elim - no-op-function - no-op-function - no-op-function - lower-constant-intrinsics - div-rem-pairs",3237543
46,durbin/durbin,init_array,"libcalls-shrinkwrap - sccp - loop(indvars) - loop-mssa(licm) - bdce - instcombine - no-op-function - no-op-function - no-op-function - no-op-function",3237543
47,durbin/durbin,init_array,"instsimplify - loop-mssa(licm) - lower-expect - correlated-propagation - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function - no-op-function",3237543
48,durbin/durbin,init_array,"loop-sink - adce - loop-mssa(licm) - loop(loop-deletion) - slp-vectorizer - speculative-execution - div-rem-pairs - jump-threading - instsimplify - mem2reg,loop-unroll<O3>",3229772
49,durbin/durbin,init_array,"memcpyopt - adce - memcpyopt - loop-mssa(licm) - bdce - instcombine - no-op-function - bdce - no-op-function - no-op-function",3237543
