id,benchmark,function,passes,wcet
43,durbin/durbin,init_array,"aggressive-instcombine - dse - instcombine - lower-constant-intrinsics - instsimplify",3237943
44,durbin/durbin,init_array,"lower-constant-intrinsics - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - mem2reg - dse - mem2reg,loop-unroll<O3> - loop(loop-idiom)",3229772
45,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - jump-threading - loop-mssa(licm) - reassociate - loop-mssa(licm) - mldst-motion - loop(loop-deletion)",3237543
46,durbin/durbin,init_array,"gvn - loop-mssa(licm)",3237543
47,durbin/durbin,init_array,"slp-vectorizer - loop-simplify - callsite-splitting - loop-mssa(licm) - mem2reg - loop-mssa(licm)",3237543
48,durbin/durbin,init_array,"alignment-from-assumptions - loop-mssa(licm) - loop-mssa(licm) - loop(loop-deletion) - gvn - sroa",3237543
49,durbin/durbin,init_array,"loop-vectorize - loop(loop-deletion) - loop-mssa(licm) - loop-mssa(licm) - gvn",3237543
50,durbin/durbin,init_array,"bdce - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm)",3237543
51,durbin/durbin,init_array,"callsite-splitting - loop-mssa(licm) - div-rem-pairs - loop-simplify - adce - lower-expect - div-rem-pairs - instcombine - correlated-propagation - loop-mssa(licm)",3237543
52,durbin/durbin,init_array,"jump-threading - instsimplify",3237943
53,durbin/durbin,init_array,"loop-simplify - loop(indvars) - loop-mssa(licm) - pgo-memop-opt - loop-vectorize - div-rem-pairs - slp-vectorizer - alignment-from-assumptions - loop(indvars) - mem2reg",3237543
54,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - speculative-execution - loop-mssa(licm) - mldst-motion - loop-simplify - libcalls-shrinkwrap",3237543
55,durbin/durbin,init_array,"alignment-from-assumptions - loop(indvars) - float2int - loop-mssa(licm) - pgo-memop-opt",3237543
56,durbin/durbin,init_array,"pgo-memop-opt - loop-distribute",3237943
57,durbin/durbin,init_array,"loop-mssa(licm) - loop(loop-deletion) - mem2reg,loop-unroll<O3>",3229772
58,durbin/durbin,init_array,"loop-mssa(licm) - loop-simplify - correlated-propagation - mldst-motion - loop-mssa(licm) - loop-vectorize - slp-vectorizer - sccp - loop-mssa(licm)",3237543
59,durbin/durbin,init_array,"loop-distribute - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - instsimplify - loop-mssa(licm)",3237543
60,durbin/durbin,init_array,"aggressive-instcombine - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm) - libcalls-shrinkwrap - loop-mssa(licm) - loop-mssa(licm) - sccp - libcalls-shrinkwrap",3237543
61,durbin/durbin,init_array,"gvn - dse - loop-mssa(licm) - sroa - loop-mssa(licm)",3237543
62,durbin/durbin,init_array,"lcssa - loop-simplify",3237943
63,durbin/durbin,init_array,"loop(loop-deletion) - loop-mssa(licm) - loop(loop-idiom) - instcombine - slp-vectorizer - loop(loop-idiom) - loop-mssa(licm)",3237543
64,durbin/durbin,init_array,"bdce - loop-mssa(licm) - jump-threading",3237543
65,durbin/durbin,init_array,"loop-sink - instsimplify - dse - callsite-splitting",3237943
66,durbin/durbin,init_array,"instcombine - gvn - loop(loop-deletion) - loop(loop-idiom) - libcalls-shrinkwrap - sccp - mem2reg - loop-mssa(licm) - callsite-splitting - loop-mssa(licm)",3237543
67,durbin/durbin,init_array,"callsite-splitting - mem2reg - loop-vectorize",3237943
68,durbin/durbin,init_array,"loop(loop-idiom) - loop-mssa(licm) - loop-mssa(licm) - loop-mssa(licm)",3237543
69,durbin/durbin,init_array,"mldst-motion - loop(loop-deletion) - loop-mssa(licm) - loop(loop-deletion) - lower-constant-intrinsics - gvn - aggressive-instcombine - div-rem-pairs - loop-simplify",3237543
70,durbin/durbin,init_array,"aggressive-instcombine - jump-threading",3237943
71,durbin/durbin,init_array,"aggressive-instcombine - callsite-splitting - loop-mssa(licm)",3237543
72,durbin/durbin,init_array,"loop-mssa(licm) - loop-mssa(licm) - alignment-from-assumptions - loop(loop-idiom) - instcombine",3237543
73,durbin/durbin,init_array,"loop-load-elim - jump-threading - loop-distribute - float2int",3237943
74,durbin/durbin,init_array,"lower-expect - loop-mssa(licm) - bdce - loop-mssa(licm)",3237543
75,durbin/durbin,init_array,"loop-sink - slp-vectorizer - loop-mssa(licm) - aggressive-instcombine - lower-expect - bdce - lcssa - loop-simplify",3237543
