id,benchmark,function,passes,wcet
39,ns/ns,foo,"memcpyopt - mem2reg,loop-unroll<O3> - instsimplify - mem2reg,loop-unroll<O3> - adce - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - instcombine",188146
40,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-mssa(licm) - loop-mssa(licm)",212596
41,ns/ns,foo,"loop-distribute - mem2reg,loop-unroll<O3>",230926
42,ns/ns,foo,"gvn - gvn - loop-distribute - mem2reg,loop-unroll<O3>",230866
43,ns/ns,foo,"gvn - aggressive-instcombine - instsimplify",367636
44,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - aggressive-instcombine - instsimplify",129846
45,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - aggressive-instcombine - instsimplify",129846
46,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - aggressive-instcombine - instsimplify",129846
47,ns/ns,foo,"no-op-function - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",230926
48,ns/ns,foo,"reassociate - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - alignment-from-assumptions",215696
49,ns/ns,foo,"loop-mssa(licm) - reassociate - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - alignment-from-assumptions",215696
50,ns/ns,foo,"tailcallelim - loop-mssa(licm) - reassociate - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - alignment-from-assumptions",215696
51,ns/ns,foo,"mem2reg,loop-unroll<O3> - tailcallelim - loop-mssa(licm) - reassociate - mem2reg,loop-unroll<O3> - gvn - loop-mssa(licm) - alignment-from-assumptions",243576
52,ns/ns,foo,"mldst-motion - gvn - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - loop-mssa(licm)",212536
53,ns/ns,foo,"loop-mssa(licm) - gvn - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",190236
54,ns/ns,foo,"alignment-from-assumptions - gvn - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",230866
55,ns/ns,foo,"loop-mssa(licm) - alignment-from-assumptions - gvn - gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",190236
56,ns/ns,foo,"loop-sink - mem2reg,loop-unroll<O3> - loop-mssa(licm)",212596
57,ns/ns,foo,"mldst-motion - mem2reg,loop-unroll<O3> - gvn",129846
58,ns/ns,foo,"mem2reg,loop-unroll<O3> - mldst-motion - mem2reg,loop-unroll<O3> - gvn",129846
59,ns/ns,foo,"loop-mssa(licm) - mldst-motion - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn",128896
60,ns/ns,foo,"mem2reg,loop-unroll<O3> - loop-mssa(licm) - mldst-motion - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn",166696
61,ns/ns,foo,"instsimplify - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3>",216026
62,ns/ns,foo,"sccp - loop-mssa(licm) - mem2reg,loop-unroll<O3> - sccp",190296
63,ns/ns,foo,"memcpyopt - sccp - loop-mssa(licm) - mem2reg,loop-unroll<O3> - sccp",190296
64,ns/ns,foo,"instsimplify - memcpyopt - sccp - loop-mssa(licm) - mem2reg,loop-unroll<O3> - sccp",190296
65,ns/ns,foo,"mem2reg,loop-unroll<O3> - instsimplify - memcpyopt - sccp - loop-mssa(licm) - mem2reg,loop-unroll<O3> - sccp",212596
66,ns/ns,foo,"jump-threading - gvn - gvn",367636
67,ns/ns,foo,"loop-vectorize - gvn - loop-vectorize - gvn - div-rem-pairs",367636
68,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - loop-vectorize - gvn - gvn - div-rem-pairs",129846
69,ns/ns,foo,"loop-mssa(licm) - gvn - loop-vectorize - gvn - gvn - div-rem-pairs",269086
70,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - no-op-function - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - gvn - sroa",129846
71,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - no-op-function - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - gvn - sroa",129806
72,ns/ns,foo,"gvn - loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - no-op-function - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3> - gvn - sroa",128856
73,ns/ns,foo,"gvn - gvn - mem2reg,loop-unroll<O3> - gvn - reassociate - mem2reg,loop-unroll<O3>",190566
74,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - gvn - mem2reg,loop-unroll<O3> - reassociate - mem2reg,loop-unroll<O3>",216026
75,ns/ns,foo,"gvn - mem2reg,loop-unroll<O3> - gvn - gvn - mem2reg,loop-unroll<O3> - reassociate - mem2reg,loop-unroll<O3>",190566
76,ns/ns,foo,"adce - loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3>",215696
77,ns/ns,foo,"loop-mssa(licm) - adce - loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3>",215696
78,ns/ns,foo,"loop(loop-deletion) - loop-mssa(licm) - loop-mssa(licm) - adce - loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - mem2reg,loop-unroll<O3>",215696
79,ns/ns,foo,"mem2reg,loop-unroll<O3> - gvn - sroa - mem2reg,loop-unroll<O3>",216026
80,ns/ns,foo,"mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - gvn - sroa - mem2reg,loop-unroll<O3>",216026
81,ns/ns,foo,"loop-mssa(licm) - mem2reg,loop-unroll<O3> - loop-mssa(licm) - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3> - mem2reg,loop-unroll<O3>",190296
