id,benchmark,function,passes,wcet
53,ns/ns,foo,"tailcallelim - slp-vectorizer - callsite-splitting - jump-threading - lower-constant-intrinsics - libcalls-shrinkwrap - loop-load-elim - mldst-motion - alignment-from-assumptions - loop-mssa(licm)",370686
54,ns/ns,foo,"loop-mssa(licm) - sroa - mem2reg - loop(loop-idiom) - slp-vectorizer - loop(loop-idiom) - loop-mssa(licm) - callsite-splitting - tailcallelim",370686
55,ns/ns,foo,"slp-vectorizer - gvn - loop(loop-idiom) - no-op-function",422316
56,ns/ns,foo,"float2int - lower-expect - loop-simplify - callsite-splitting",367696
57,ns/ns,foo,"no-op-function - mldst-motion - loop(indvars) - alignment-from-assumptions - instsimplify",367696
58,ns/ns,foo,"loop(loop-idiom) - bdce - loop(loop-idiom) - instsimplify - instsimplify - callsite-splitting - tailcallelim - speculative-execution",367696
59,ns/ns,foo,"jump-threading - dse - loop-mssa(licm) - callsite-splitting - lower-constant-intrinsics - callsite-splitting - speculative-execution - instcombine",367696
60,ns/ns,foo,"instsimplify - loop-vectorize - loop-mssa(licm) - alignment-from-assumptions - div-rem-pairs - loop-simplify - mem2reg,loop-unroll<O3> - loop-simplify - slp-vectorizer - libcalls-shrinkwrap",190296
61,ns/ns,foo,"gvn - bdce",367636
62,ns/ns,foo,"no-op-function - loop(indvars) - dse - tailcallelim - float2int - reassociate - adce - adce - float2int - loop-simplify",422376
63,ns/ns,foo,"lcssa - loop-sink",422376
64,ns/ns,foo,"div-rem-pairs - loop-sink - reassociate - speculative-execution - dse - loop(indvars) - speculative-execution - tailcallelim",422376
65,ns/ns,foo,"memcpyopt - loop-distribute - memcpyopt - loop-mssa(licm) - correlated-propagation - lcssa - dse - mem2reg,loop-unroll<O3>",190296
66,ns/ns,foo,"sroa - reassociate - dse",367696
67,ns/ns,foo,"lower-expect - no-op-function - loop(loop-deletion) - loop(indvars) - loop-sink - tailcallelim - no-op-function - callsite-splitting - mem2reg - alignment-from-assumptions",422376
68,ns/ns,foo,"aggressive-instcombine - speculative-execution - adce - correlated-propagation - loop-simplify - sccp - correlated-propagation - loop-simplify - correlated-propagation - reassociate",367696
69,ns/ns,foo,"lcssa - mem2reg - lcssa - slp-vectorizer - loop-simplify - speculative-execution - no-op-function",422376
70,ns/ns,foo,"dse - speculative-execution - tailcallelim - loop-load-elim",367696
71,ns/ns,foo,"slp-vectorizer - dse",367696
72,ns/ns,foo,"lower-constant-intrinsics - mldst-motion - gvn - bdce - libcalls-shrinkwrap - mem2reg,loop-unroll<O3> - jump-threading - lower-expect",199866
73,ns/ns,foo,"adce - gvn - dse - reassociate - mem2reg,loop-unroll<O3>",230866
74,ns/ns,foo,"loop-vectorize - bdce - memcpyopt - loop-distribute",383316
75,ns/ns,foo,"correlated-propagation - loop-sink - tailcallelim - correlated-propagation - lower-expect - tailcallelim - loop-mssa(licm) - tailcallelim - mem2reg,loop-unroll<O3> - lcssa",190296
76,ns/ns,foo,"float2int - adce",367696
77,ns/ns,foo,"loop(loop-idiom) - loop-simplify - dse - alignment-from-assumptions - reassociate - jump-threading",422376
78,ns/ns,foo,"no-op-function - slp-vectorizer - div-rem-pairs - loop-vectorize",383316
79,ns/ns,foo,"loop-distribute - loop(loop-deletion) - mem2reg,loop-unroll<O3> - sccp - correlated-propagation - lower-constant-intrinsics - no-op-function",199926
80,ns/ns,foo,"loop(loop-deletion) - slp-vectorizer",422376
81,ns/ns,foo,"bdce - jump-threading - loop-vectorize - pgo-memop-opt",383316
82,ns/ns,foo,"loop-vectorize - memcpyopt - instcombine - mem2reg,loop-unroll<O3>",230926
83,ns/ns,foo,"memcpyopt - no-op-function - loop-load-elim - speculative-execution",367696
84,ns/ns,foo,"memcpyopt - tailcallelim - gvn - mldst-motion - loop-vectorize - dse - gvn",367636
85,ns/ns,foo,"slp-vectorizer - div-rem-pairs - memcpyopt - libcalls-shrinkwrap - mem2reg - lower-constant-intrinsics - loop-load-elim - gvn - bdce - instsimplify",367636
86,ns/ns,foo,"lower-expect - loop-simplify - loop(loop-deletion) - loop-mssa(licm) - pgo-memop-opt - instcombine - float2int",367696
87,ns/ns,foo,"lower-constant-intrinsics - loop-load-elim - loop-distribute",367696
88,ns/ns,foo,"loop-vectorize - sroa - pgo-memop-opt - tailcallelim - lcssa - speculative-execution",422376
89,ns/ns,foo,"jump-threading - tailcallelim - gvn - speculative-execution - pgo-memop-opt - libcalls-shrinkwrap",367636
